"","","p","Academia Econ. Pap.","","|","Academia Economic Papers"
"","","p","Rev. Public Data Use","","|","Review of Public Data Use"
"","","p","Rev. Quant. Finance Acc.","","|","Review of Quantitative Finance and Accounting"
"","","p","Rev. Radical Polit. Econ.","","|","Review of Radical Political Economics"
"","","p","Rev. Reg. Stud.","","|","Review of Regional Studies"
"","","p","Rev. Soc. Economy","","|","Review of Social Economy"
"","","p","Rev. Urban Reg. Devel. Stud.","","|","Review of Urban and Regional Development Studies"
"","","p","Revista Brasileira Econ.","","|","Revista Brasileira de Economia"
"","","p","Revista Admin. Empresas","","|","Revista de Administracao d Empresas"
"","","p","Revista Anal. Econ.","","|","Revista de Analisis Economico"
"","","p","Revista Econ. Inst.","","|","Revista de Economia Institucional"
"","","p","Revista Econ. y Estadist.","","|","Revista de Economia y Estadistica, N.S."
"","","p","Revista Econ.","","|","Revista de Economia"
"","","p","Revista Econometria","","|","Revista de Econometria"
"","","p","Revista Econ. Aplicada","","|","Revista de Economia Aplicada"
"","","p","Revista Econ. Politica/Brazilian J. Polit. Economy","","|","Revista de Economia Politica/Brazilian Journal of Political Economy"
"","","p","Revista Econ. Politica","","|","Revista de Economia Politica"
"","","p","Revista Estadist.","","|","Revista de Estadistica"
"","","p","Revista Estud. Polit.","","|","Revista de Estudios Politicos"
"","","p","Revista Hist. Econ.","","|","Revista de Historia Economica"
"","","p","Revista Hist. Ind.","","|","Revista de Historia Industrial"
"","","p","Revista Fac. Cienc. Econ. Admin. Montevideo","","|","Revista de la Facultad de Ciencas Economicas y de Administracion de  Montevideo"
"","","p","Revista Espanola Econ.","","|","Revista Espanola de Economia"
"","","p","Revue Can. Sci. Admin./Can. J. Admin. Sci.","","|","Revue Canadienne des Sciences de l'Administration/Canadian Journal of Administrative Sciences"
"","","p","Revue Econ. Devel.","","|","Revue d'Economie du Developpement"
"","","p","Revue Econ. Financ.","","|","Revue d'Economie Financiere"
"","","p","Revue Econ. Ind.","","|","Revue d'Economie Industrielle"
"","","p","Revue Econ. Politique","","|","Revue d'Economie Politique"
"","","p","Revue Econ. Reg. Urbaine","","|","Revue d'Economie Regionale et Urbaine"
"","","p","Revue Etud. Compar. Est-Ouest","","|","Revue d'Etudes Comparatives Est-Ouest"
"","","p","Revue L'OFCE","","|","Revue de L'OFCE"
"","","p","Revue Sci. Financ.","","|","Revue de Science Financiere"
"","","p","Revue Econ. Madagascar","","|","Revue Economique de Madagascar"
"","","p","Revue Econ.","","|","Revue Economique"
"","","p","Revue Finance Controle Strategie","","|","Revue Finance Controle Strategie"
"","","p","Revue Francaise Econ.","","|","Revue Francaise d'Economie"
"","","p","Revue Francaise Gestion","","|","Revue Francaise de Gestion"
"","","p","Revue Roumaine Sci. Soc. Serie Sci. Econ.","","|","Revue Roumaine des Sciences Sociales; Serie Sciences Economiques"
"","","p","Revue Tiers Monde","","|","Revue Tiers Monde"
"","","p","Ricerche Econ.","","|","Ricerche Economiche"
"","","p","RISEC: Int. Rev. Econ. Bus.","","|","RISEC: International Review of Economics and Business"
"","","p","Risk Dec. Pol.","","|","Risk Decision and Policy"
"","","p","Rivista Politica Econ.","","|","Rivista di Politica Economica"
"","","p","Rivista Statist. Appl.","","|","Rivista di Statistica Applicata"
"","","p","Rivista Storia Econ., N.S.","","|","Rivista di Storia Economica, N.S."
"","","p","Rivista Int. Sci. Econ. Com.","","|","Rivista Internazionale di Scienze Economiche e Commerciali"
"","","p","Rivista Int. Sci. Soc.","","|","Rivista Internazionale di Scienze Sociali"
"","","p","Rivista Italiana Econ.","","|","Rivista Italiana degli Economisti"
"","","p","Russian E. Europ. Finance Trade","","|","Russian and East European Finance and Trade"
"","","p","Russian Econ. Trends","","|","Russian Economic Trends"
"","","p","Scand. Econ. Hist. Rev.","","|","Scandinavian Economic History Review"
"","","p","Scand. J. Econ.","","|","Scandinavian Journal of Economics"
"","","p","Schmollers Jahr.","","|","Schmollers Jahrbuch fur Wirtschafts- und Sozialwissenschaften"
"","","p","Schmollers Jahr.: Z. Wirtsch. Sozialwissen./J. Appl. Soc. Sci. Stud.","","|","Schmollers Jahrbuch: Zeitschrift fur Wirtschafts- und Sozialwissenschaften/Journal of Applied Social Science Studies"
"","","p","Schweiz. Nationalbank Quart.","","|","Schweizerische Nationalbank Quartalsheft"
"","","p","Schweiz. Z. Volkswirtsch. Statist./Swiss J. Econ. Statist.","","|","Schweizerische Zeitschrift fur Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics"
"","","p","Schweiz. Z. Volkswirtsch. Statist.","","|","Schweizerische Zeitschrift fur Volkswirtschaft und Statistik"
"","","p","Sci. Society","","|","Science and Society"
"","","p","Scot. J. Polit. Economy","","|","Scottish Journal of Political Economy"
"","","p","Seoul J. Econ.","","|","Seoul Journal of Economics"
"","","p","Singapore Econ. Rev.","","|","Singapore Economic Review"
"","","p","Skand. Banken Quart. Rev.","","|","Skandinaviska Banken Quarterly Review"
"","","p","Sloan Manage. Rev.","","|","Sloan Management Review"
"","","p","Small Bus. Econ.","","|","Small Business Economics"
"","","p","Soc. Econ. Stud.","","|","Social and Economic Studies"
"","","p","Soc. Choice Welfare","","|","Social Choice and Welfare"
"","","p","Soc. Res.","","|","Social Research"
"","","p","Soc. Sci. Japan J.","","|","Social Science Japan Journal"
"","","p","Soc. Sci. Quart.","","|","Social Science Quarterly"
"","","p","Soc. Sec. Bull.","","|","Social Security Bulletin"
"","","p","South African J. Econ. Manage. Sci., N.S.","","|","South African Journal of Economic and Management Sciences, N.S."
"","","p","South African J. Econ.","","|","South African Journal of Economics"
"","","p","Southern Econ. J.","","|","Southern Economic Journal"
"","","p","Southern J. Agr. Econ.","","|","Southern Journal of Agricultural Economics"
"","","p","Southern Quart.","","|","Southern Quarterly"
"","","p","Soviet E. Europ. Foreign Trade","","|","Soviet and Eastern European Foreign Trade"
"","","p","Soviet Economy","","|","Soviet Economy"
"","","p","Soviet Stud.","","|","Soviet Studies"
"","","p","Spanish Econ. Rev.","","|","Spanish Economic Review"
"","","p","Spoudai ","","|","Spoudai"
"","","p","Statistica","","|","Statistica"
"","","p","Statistical J.","","|","Statistical Journal"
"","","p","Statistical Pap.","","|","Statistical Papers"
"","","p","Statsokon. Tidsskr.","","|","Statsokonomisk Tidsskrift"
"","","p","Struct. Change Econ. Dynam.","","|","Structural Change and Economic Dynamics"
"","","p","Stud. Econ.","","|","Studi Economici"
"","","p","Stud. Econ. Finance","","|","Studies in Economics and Finance"
"","","p","Stud. Family Planning","","|","Studies in Family Planning"
"","","p","Stud. Nonlinear Dynam. Econometrics","","|","Studies in Nonlinear Dynamics and Econometrics"
"","","p","Stud. Cercet. Econ.","","|","Studii si Cercetari Economice"
"","","p","Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci., N.S.","","|","Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences, N.S."
"","","p","Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci.","","|","Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences"
"","","p","Supreme Court Econ. Rev.","","|","Supreme Court Economic Review"
"","","p","Surv. Curr. Bus.","","|","Survey of Current Business"
"","","p","Swedish Econ. Pol. Rev.","","|","Swedish Economic Policy Review"
"","","p","Swedish J. Econ.","","|","Swedish Journal of Economics"
"","","p","Swiss Polit. Sci. Rev.","","|","Swiss Political Science Review"
"","","p","Tahq. Eq.","","|","Tahqiqat-e eqtesadi (Quarterly Journal of Economic Research)"
"","","p","Taiwan Econ. Rev.","","|","Taiwan Economic Review"
"","","p","Teaching Bus. Econ.","","|","Teaching Business and Economics"
"","","p","Tech. Anal. Strategic Manage.","","|","Technology Analysis and Strategic Management"
"","","p","Tech. Cult.","","|","Technology and Culture"
"","","p","Telecommunications Pol.","","|","Telecommunications Policy"
"","","p","Theory Dec.","","|","Theory and Decision"
"","","p","Tijdschr. Econ. Manage.","","|","Tijdschrift voor Economie en Management"
"","","p","Tijdschr. Econ.","","|","Tijdschrift voor Economie"
"","","p","Tourism Hospitality Manage.","","|","Tourism and Hospitality Management"
"","","p","Tourism Econ.","","|","Tourism Economics"
"","","p","Trans-action","","|","Trans-action"
"","","p","Transnat. Corporations","","|","Transnational Corporations"
"","","p","Transp. J.","","|","Transportation Journal"
"","","p","Transp. Res.: Part A: Pol. Practice","","|","Transportation Research: Part A: Policy and Practice"
"","","p","Transp. Res.: Part B: Methodological","","|","Transportation Research: Part B: Methodological"
"","","p","Transp. Res.: Part D: Transport Environ.","","|","Transportation Research: Part D: Transport and Environment"
"","","p","Transp. Res.: Part E: Logist. Transp. Rev.","","|","Transportation Research: Part E: Logistics and Transporation Review"
"","","p","Transportation","","|","Transportation"
"","","p","Travail Emploi","","|","Travail et Emploi"
"","","p","Ukrainian Econ. Rev.","","|","Ukrainian Economic Review"
"","","p","UNCTAD Rev.","","|","UNCTAD Review"
"","","p","UN Mon. Chron.","","|","United Nations Monthly Chronicle"
"","","p","Univ. Missouri Bus. Govt. Rev.","","|","University of Missouri Business and Government Review"
"","","p","Univ. Wash. Bus. Rev.","","|","University of Washington Business Review"
"","","p","Urban Stud.","","|","Urban Studies"
"","","p","Venture Capital","","|","Venture Capital"
"","","p","Vierteljahrs. Wirtschaftsforschung","","|","Vierteljahrsheftze zur Wirtschaftsforschung"
"","","p","Water Resources Res.","","|","Water Resources Research"
"","","p","Weltwirtsch. Arch./Rev. World Econ.","","|","Weltwirtschaftliches Archiv/Review of World Economics"
"","","p","Weltwirtsch. Arch.","","|","Weltwirtschaftliches Archiv"
"","","p","Western Econ. J.","","|","Western Economic Journal"
"","","p","Western J. Agr. Econ.","","|","Western Journal of Agricultural Economics"
"","","p","Wirtsch. Recht","","|","Wirtschaft und Recht"
"","","p","Wirtschaftspolitische Blatter","","|","Wirtschaftspolitische Blatter"
"","","p","Wiss Z. Martin-Luther Univ. Halle-Wittenberg","","|","Wissenshaftliche Zeitschrift der Martin Luther Universitat Halle-Wittenberg"
"","","p","WorkingUSA","","|","WorkingUSA"
"","","p","World Bank Econ. Rev.","","|","World Bank Economic Review"
"","","p","World Bank Res. Observer","","|","World Bank Research Observer"
"","","p","World Devel.","","|","World Development"
"","","p","World Economy","","|","World Economy"
"","","p","Yale Econ. Essays","","|","Yale Economic Essays"
"","","p","Yale J. Regul.","","|","Yale Journal on Regulation"
"","","p","Yale Law J.","","|","Yale Law Journal"
"","","p","Yapi Kredi Econ. Rev.","","|","Yapi Kredi Economic Review"
"","","p","Yorkshire Bull. Econ. Soc. Res.","","|","Yorkshire Bull. Econ. Soc. Res."
"","","p","Zagreb Int. Rev. Econ. Bus.","","|","Zagreb International Review of Economics and Business"
"","","p","Zbornik Radova Ekon. Fakul. Rijeka","","|","Zbornik Radova Ekonomskog Fakulteta Rijeka"
"","","p","Zbornik Radova Ekon. Fakul. U. Rijeci/Proceed. Rijeka Sch. Econ.: J. Econ. Bus.","","|","Zbornik Radova Ekonomskog Fakulteta U. Rijeci/Proceedings of Rijeka School of Economics: Journal of Economics and Business"
"","","p","Z. Allg. Textile Marktwirtsch.","","|","Zeitschrift fur Allgemaine und Textile Marktwirts schaft"
"","","p","Z. Betriebswirtschaft","","|","Zeitschrift fur Betriebswirtschaft"
"","","p","Z. ges. Staatswissen. (JITE)","","|","Zeitschrift fur die gesamte Staatswissenschaft (JITE)"
"","","p","Z. Nationalokon.","","|","Zeitschrift fur Nationalokonomie"
"","","p","Z. Wirtsch. Sozialwissen.","","|","Zeitschrift fur Wirtschafts- und Sozialwissenschaften"
"","","p","Z. Wirtschaftspolitik","","|","Zeitschrift fur Wirtschaftspolitik"

